"","LN.me","LN.sd","SP.me","SP.sd"
"66",79.4091844779871,4.8215463852044,1.28927947216867,0.138281607646502
"66.5",79.4091844779871,4.81818549986096,1.29275405406758,0.139050715739168
"67",79.4091844779871,4.80140240667181,1.28927947216867,0.13905851093032
"67.5",79.4860084749336,4.71591039125745,1.28927947216867,0.138936534701547
"68",79.5652136333312,4.65687193531117,1.28016170702951,0.137925134241316
"68.5",79.5652136333312,4.65373115413399,1.27895720152467,0.130635541429552
"69",79.5652136333312,4.65756715686924,1.27706361718721,0.123807693320483
"69.5",79.7351943968502,4.65238414127206,1.27682965514323,0.123664380052817
"70",79.7351943968502,4.63534134525881,1.27682965514323,0.123657694033185
"70.5",79.5652136333312,4.63397778204913,1.27682965514323,0.12331399648028
"71",79.4860084749336,4.67010569805481,1.27682965514323,0.123179097715117
"71.5",79.4091844779871,4.70245660058797,1.27682965514323,0.122824738091964
"72",79.4860084749336,4.70271936028744,1.27706361718721,0.122730607637805
"72.5",79.5652136333312,4.69691306522413,1.27706361718721,0.122504823865371
"73",79.7351943968502,4.61151157615451,1.27682965514323,0.123099846416785
"73.5",79.7636363573276,4.53403665556531,1.27682965514323,0.123268863473322
"74",79.7792097884967,4.4546030612101,1.27682965514323,0.122749271318727
"74.5",79.7947664267711,4.42158265938053,1.27706361718721,0.121889579626037
"75",79.7965955171582,4.40343731198715,1.27706361718721,0.121893225159331
"75.5",79.8495385138534,4.37612826311026,1.27682965514323,0.118588684946582
"76",79.8495385138534,4.34261506563468,1.27682965514323,0.116247223644169
"76.5",80.0090140274153,4.25070238409598,1.27682965514323,0.116194125899181
"77",80.0988458893184,4.21774221313201,1.27628732618817,0.115943399903959
"77.5",80.0988458893184,4.03310287795302,1.2753272015191,0.116514910052777
"78",80.0090140274153,3.80287218722602,1.2730797119372,0.11636567669809
"78.5",79.9013800935645,3.77256487577871,1.2730797119372,0.116186431465916
"79",79.9013800935645,3.84468557271008,1.2730797119372,0.114990384010477
"79.5",79.9013800935645,3.83991191604383,1.2730797119372,0.11491871136651
"80",79.9013800935645,3.83677926935421,1.2730797119372,0.114567373663496
"80.5",80.0090140274153,3.84404920527475,1.2753272015191,0.11406984821447
"81",80.0988458893184,3.83915796924173,1.27628732618817,0.112957602993207
"81.5",80.0988458893184,3.83693868884996,1.27628732618817,0.113235732853407
"82",80.0988458893184,3.83713544020666,1.27628732618817,0.113444015783723
"82.5",80.0090140274153,3.82994187211152,1.27628732618817,0.113707829686718
"83",79.9421764740599,3.8082859578504,1.27628732618817,0.113284131011188
"83.5",79.9013800935645,3.80752663262644,1.27682965514323,0.113035444076301
"84",79.9013800935645,3.81380476193559,1.27706361718721,0.113397973609871
"84.5",79.9421764740599,3.80980636115193,1.27706361718721,0.113566921046343
"85",80.0090140274153,3.79027207590666,1.27682965514323,0.112677309673306
"85.5",80.0988458893184,3.77937110670826,1.27628732618817,0.112404860558115
"86",80.0988458893184,3.74958330297695,1.2753272015191,0.112623066338244
"86.5",80.0988458893184,3.67962255697694,1.26865400019158,0.112372317442782
"87",80.0988458893184,3.62131513135859,1.26865400019158,0.112054159180262
"87.5",80.1881218574282,3.55948274420652,1.26865400019158,0.113280098838326
"88",80.2680005934372,3.51942232596099,1.26865400019158,0.113047612216282
"88.5",80.2856915219677,3.51848297062457,1.26820862791063,0.114059570625725
"89",80.3913839390696,3.51701925699207,1.2681559653879,0.114534131760633
"89.5",80.3913839390696,3.46997159526069,1.26749807232988,0.115345461872713
"90",80.3913839390696,3.47346671656778,1.26649328366453,0.116169523785269
"90.5",80.2856915219677,3.46038342227275,1.26649328366453,0.116574392194098
"91",80.2856915219677,3.42792107950869,1.26649328366453,0.117052863423954
"91.5",80.2856915219677,3.41403113535603,1.26749807232988,0.116827496452536
"92",80.2856915219677,3.42019571923565,1.2681559653879,0.116791629611009
"92.5",80.2856915219677,3.41900290203218,1.2681559653879,0.117051380807004
"93",80.2680005934372,3.42103062846752,1.2681559653879,0.116872459654058
"93.5",80.1881218574282,3.5397131529017,1.2681559653879,0.116662120633793
"94",80.0988458893184,3.56953527284067,1.2681559653879,0.117942347127374
"94.5",80.0988458893184,3.56189689248197,1.2681559653879,0.117802085148525
"95",80.0988458893184,3.5654428909355,1.2681559653879,0.118130616326233
"95.5",80.0988458893184,3.56537088290303,1.2681559653879,0.118519921823294
"96",80.0988458893184,3.56590261720039,1.2681559653879,0.117757030074541
"96.5",80.1881218574282,3.56858987783278,1.2681559653879,0.117603838216589
"97",80.1881218574282,3.57572255105092,1.2681559653879,0.11755759136975
"97.5",80.1881218574282,3.57567173907253,1.2681559653879,0.117971909502087
"98",80.1881218574282,3.57195227473475,1.26749807232988,0.118937318529099
"98.5",80.2680005934372,3.57757041728187,1.26749807232988,0.119749950543152
"99",80.2856915219677,3.58216272898006,1.26749807232988,0.120247191062224
"99.5",80.2856915219677,3.58495219517057,1.26749807232988,0.122040046633446
"100",80.2856915219677,3.58536577116922,1.26749807232988,0.122359072673095
"100.5",80.2680005934372,3.44641908525404,1.26749807232988,0.121409665470318
"101",80.1881218574282,3.30490302076086,1.26749807232988,0.120381002267448
"101.5",80.1881218574282,3.34349308120094,1.26649328366453,0.120254760150215
"102",80.1881218574282,3.40632277600592,1.26649328366453,0.120305274144966
"102.5",80.1881218574282,3.47550773741129,1.26149226362519,0.120004616948124
"103",80.1881218574282,3.54080485773699,1.26073350753664,0.11748155676286
"103.5",80.1881218574282,3.61247203437188,1.25587472341343,0.115713198156671
"104",80.1881218574282,3.59093271523488,1.25587472341343,0.115527308894546
"104.5",80.2680005934372,3.58299537622858,1.25587472341343,0.115451044729852
"105",80.2856915219677,3.58928999916954,1.25585053710258,0.115357766088189
"105.5",80.3913839390696,3.59113318043529,1.25585053710258,0.115018655094805
"106",80.2856915219677,3.53925462814085,1.25585053710258,0.109457686434769
"106.5",80.2680005934372,3.48460107121973,1.25509993244886,0.104379905242046
"107",80.2680005934372,3.47044852364369,1.25499134674927,0.104874032343801
"107.5",80.2680005934372,3.46436396530887,1.25405321117147,0.104024207903821
"108",80.1881218574282,3.46391891286025,1.25405321117147,0.103380158208647
"108.5",80.1881218574282,3.46451293839151,1.25405321117147,0.102685737917266
"109",80.2680005934372,3.46755025799716,1.2538260956942,0.102831532336879
"109.5",80.2680005934372,3.46928875047162,1.2538260956942,0.102705474333362
"110",80.1881218574282,3.46734602020531,1.2538260956942,0.103066200969826
"110.5",80.0090140274153,3.49963995007304,1.25405321117147,0.103212832782776
"111",79.9421764740599,3.61084434851238,1.25405321117147,0.103427035783938
"111.5",79.9421764740599,3.69295457813665,1.2538260956942,0.103574312107617
"112",79.9421764740599,3.68522828303901,1.25278196474729,0.10246348750562
"112.5",80.0090140274153,3.6666791702908,1.25278196474729,0.100218938838934
"113",80.1881218574282,3.58682114236851,1.24821766354343,0.0988135967267586
"113.5",80.2680005934372,3.56934436296904,1.24821766354343,0.0989753247884154
"114",80.2680005934372,3.56912038539098,1.25278196474729,0.0999574784383244
"114.5",80.2680005934372,3.55465045883538,1.2538260956942,0.100023982380653
"115",80.1881218574282,3.54544611930234,1.2538260956942,0.0998069172629902
"115.5",80.1881218574282,3.54595205462306,1.25405321117147,0.0996530524565392
"116",80.2680005934372,3.5486739738089,1.25509993244886,0.0997613188554403
"116.5",80.2680005934372,3.49613512449377,1.25405321117147,0.0957604017787438
"117",80.2680005934372,3.39538203400137,1.25278196474729,0.0937070199936263
"117.5",80.2680005934372,3.34894660914242,1.24821766354343,0.0935087082256981
"118",80.2945288578697,3.35560860979233,1.24589099123586,0.0938476073162687
"118.5",80.2945288578697,3.35598865646297,1.24566302287168,0.0934149328802583
"119",80.2945288578697,3.3638789861951,1.24566302287168,0.096191451702891
"119.5",80.2945288578697,3.38821327121242,1.24566302287168,0.099907227657892
"120",80.2680005934372,3.4910007788033,1.24535374504082,0.100123191331462
"120.5",80.2680005934372,3.49193186027016,1.24503607722145,0.101054796579403
"121",80.2680005934372,3.43463629964184,1.24299615271494,0.101631963391523
"121.5",80.1881218574282,3.3634695309453,1.24276047867888,0.102082080507735
"122",80.1881218574282,3.35814196005595,1.24129526887274,0.102227889532165
"122.5",80.1881218574282,3.3418559246939,1.24129526887274,0.102352006284749
"123",80.071955014042,3.33124907118698,1.24064709758209,0.1033925322843
"123.5",80.071955014042,3.33124837544498,1.24064709758209,0.103418002173136
"124",80.071955014042,3.33208470742642,1.24064709758209,0.102868346017763
"124.5",80.1881218574282,3.33724711433556,1.23223119859663,0.10275608787533
"125",80.1881218574282,3.3395505161237,1.23223119859663,0.102725118696968
"125.5",80.1881218574282,3.33612976896456,1.23223119859663,0.101980890037607
"126",80.071955014042,3.33079405176655,1.23223119859663,0.102431150008023
"126.5",80.071955014042,3.3305150229793,1.22934131680261,0.104128905698238
"127",80.071955014042,3.31017409700584,1.22088482131984,0.102411889219047
"127.5",80.071955014042,3.26528409331574,1.22074828856168,0.102605051934221
"128",79.9421764740599,3.26379887173488,1.21885450530614,0.102489070611967
"128.5",79.9276843076892,3.25670868576265,1.21578983672137,0.10252106355128
"129",79.9276843076892,3.25980047381324,1.21885450530614,0.102402764037461
"129.5",79.9276843076892,3.26607439984964,1.21885450530614,0.102440987432811
"130",79.9276843076892,3.26153301376987,1.21885450530614,0.102355680826558
"130.5",79.9276843076892,3.2615066905105,1.21578983672137,0.102889886479787
"131",79.9276843076892,3.25385349227444,1.21578983672137,0.101732980516737
"131.5",79.9276843076892,3.22282316023326,1.21578983672137,0.101442461898046
"132",79.9276843076892,3.26237322520007,1.21578983672137,0.10275911384075
"132.5",79.9013800935645,3.3426516617812,1.21578983672137,0.103495254016198
"133",79.8495385138534,3.33864903108104,1.21363811228837,0.103625817195491
