"","LN","Sharpness","score1","score2","score3"
"35",68.8615991333741,1.10675827728997,0.194797821321826,89.9344452361589,1.97131999737626e-05
"35.5",67.0465067524035,1.22026187645581,0.00211518523968486,62.1884891517102,1.68603718883721e-06
"36",66.2527048937469,1.18808579554378,0.000278148406250454,18.1013978413331,5.61271812414871e-07
"36.5",66.7581593117227,1.20226191480354,0.00101287186386251,44.2901418145609,1.13037625645387e-06
"37",66.5603866273212,1.23972889695862,0.000609665909973213,32.0455737015399,8.62190748868273e-07
"37.5",65.609594583376,1.19192395835907,5.38355153444832e-05,4.14480705545592,2.30964416213709e-07
"38",66.3529005427958,1.15455651328452,0.000355613060319821,21.8405410906526,6.39235143000947e-07
"38.5",66.7174626686322,1.13878605624677,0.000890017762706188,40.416626567443,1.04988793199766e-06
"39",66.9086402708526,1.17811606609501,0.00148319570697827,41.4169793994307,1.38669117749474e-06
"39.5",67.4846123300404,1.15049252232918,0.00638562498663292,66.6768163515418,3.04776457135858e-06
"40",69.9258717628776,1.13544231091569,3.10765605137533,97.8074923301206,8.81682807066602e-05
"40.5",73.1672502157875,1.14988008031305,97.6522793264492,17.8755669230835,0.00782415837138824
"41",72.6258349317474,1.185070006415,96.7281825989901,50.1662730753561,0.00373983168856727
"41.5",70.3421571533791,1.23844661087824,8.72052261011726,97.2899875948518,0.000160198666505064
"42",71.4942196849116,1.18436265193151,64.3183859038688,96.2787708032386,0.000783141419123504
"42.5",72.0273114652555,1.15740933839964,86.6600678947049,85.9619434349969,0.00162471054259581
"43",71.14367024952,1.23721764145769,42.4825275585789,96.2599217119893,0.000484783515140406
"43.5",69.5642843312336,1.24029546462643,1.29302834457674,97.2924120621079,5.4696855901366e-05
"44",69.4448367114875,1.1818866292307,0.956601132268339,99.1744392944736,4.61336983379313e-05
"44.5",69.3772102576179,1.20834835199351,0.808176485374501,98.6973423442418,4.21613136175385e-05
"45",68.413693545154,1.21115658491747,0.069489286487812,86.7726783756524,1.11404485549858e-05
"45.5",67.5702324650746,1.24137158909098,0.00803805366993625,42.7520933148773,3.47968823220125e-06
"46",66.5374794290996,1.31172396240158,0.000520273723253444,2.09711941062502,8.31862577293772e-07
"46.5",66.7694435910691,1.22323072846394,0.0010420876935306,9.02372587007824,1.15002107428644e-06
"47",67.497487788645,1.1430169180359,0.0065569737050628,33.1170062206507,3.09154480248925e-06
"47.5",68.2903768866913,1.29923261913109,0.0478350111122109,51.6494389829006,9.38623175732879e-06
"48",67.9202238753514,1.34036456734732,0.0139747742276698,8.91757681823142,5.58270995516317e-06
"48.5",67.1830682186701,1.2700845155031,0.00295558839024156,19.5218926025289,2.03720786102346e-06
"49",67.5872956845786,1.28163859200175,0.0082079737179421,37.5665050930712,3.55868438945016e-06
"49.5",68.0033047292464,1.37227090918599,0.00870662831382533,2.55004728578431,6.15720487255051e-06
"50",67.8031009904338,1.40464253997263,0.00161613568012826,0.378483059812031,4.48464073968696e-06
"50.5",67.1127463104986,1.32166766510799,0.00213808908607008,8.20232623317006,1.83849684174219e-06
"51",68.2476785314329,1.27972965724602,0.0444236481735949,71.8869959164717,8.8628843463885e-06
"51.5",68.7519028515979,1.29909815444106,0.155373910733153,76.0633809275425,1.77588509114029e-05
"52",68.3086375675176,1.28475266342337,0.0515759757875234,75.1940733957318,9.63838070723985e-06
"52.5",68.6393845042397,1.22605905632582,0.123478661537089,87.3802916165947,1.52316100777678e-05
"53",68.2150614189749,1.20392943847045,0.0418378778449717,74.9809976289251,8.46141094098433e-06
"53.5",75.1626734437183,1.38344058873141,24.351319512246,0.0204781916423856,0.120237133558519
"54",76.6163560233596,1.41741360903457,3.43310147203146,4.95758817019437e-05,0.838597212424907
"54.5",75.0271248596606,1.42576649517122,4.39942092470031,0.00145778321216568,0.0918904732994953
"55",73.2091785473342,1.34341351816235,67.3607685738542,14.3014092216467,0.00831273788021423
"55.5",69.2314918047231,1.07522904772954,0.369373286848171,3.58296081986638,3.07371277729202e-05
"56",70.4334450487717,1.24135737601231,10.7574382440746,99.547543523862,0.000181751504743231
"56.5",70.4526821513853,1.28336927541176,10.9620132138572,97.3591623871095,0.000186414986533315
"57",72.709773789095,1.19034962108297,97.3515681479746,86.0874680124242,0.00420306620536428
"57.5",77.0918033372087,1.27580779466653,24.8230469725821,0.00477963801234441,1.76376752983719
"58",76.5638195721104,1.29630118086602,53.7739575027003,0.0109682221114347,0.856976540242707
"58.5",71.0467213128256,1.14696895331702,36.0423264711466,66.9017259387572,0.00041742237078862
"59",69.9457972421575,1.22935368732226,3.35977489579887,99.2706616133409,9.26128569369134e-05
"59.5",71.4893410452634,1.15411650682354,63.3975609943577,75.0093208121752,0.000771735177344726
"60",70.5606323201852,1.13462534067453,13.8969241714513,44.3529488074819,0.000211807418511955
"60.5",67.8743246451687,1.25067635962394,0.0174364084635194,46.8466833990565,5.29792030120878e-06
"61",69.2789645372882,1.22901537072317,0.62912660837036,97.3157590739902,3.6860575209448e-05
"61.5",71.0785522562114,1.19420025518315,38.5407032571554,95.7484347676792,0.000441641733514358
"62",71.2300395405482,1.18882596415992,47.964266862541,93.6885007858783,0.000544050684425031
"62.5",72.6663664251399,1.13239523657682,93.8938311396718,16.835633302074,0.00387900880759376
"63",72.8229152451487,1.10302852132833,85.9832635395923,2.35234755482179,0.00466876471630949
"63.5",71.4257681424455,1.23333796903371,60.2591788627384,98.2643199046862,0.00071570955878169
"64",71.9534759832222,1.22637089570105,85.2844497662165,93.5997010211232,0.00148325011994254
"64.5",71.4990966753493,1.19192922962125,64.6648516767407,93.4840566196498,0.0007893435717546
"65",70.0468115611791,1.28720904045841,4.16952317748481,97.9784105623502,0.000106373964189132
"65.5",69.0592847817314,1.36100170647018,0.17429131304007,20.2197043553041,2.66869475307954e-05
"66",69.5772891164632,1.37595878448786,0.427615877723373,8.54039667143194,5.40075996845317e-05
"66.5",70.9845324630927,1.31907785956572,28.6893573073324,87.4852549880428,0.000387046992966732
"67",72.8184659157661,1.25844420353881,97.2608097531766,52.9244144384278,0.00490323015525333
"67.5",74.0053792958373,1.26511393731733,98.6374135948323,3.29745286443593,0.0252601271251885
